DATE,DGS10,DTB3,USRECD
01-01-1962,.,.,0
02-01-1962,4.06,2.7,0
03-01-1962,4.03,2.73,0
04-01-1962,3.99,2.72,0
05-01-1962,4.02,2.74,0
08-01-1962,4.03,2.78,0
09-01-1962,4.05,2.78,0
10-01-1962,4.07,2.81,0
11-01-1962,4.08,2.78,0
12-01-1962,4.08,2.76,0
15-01-1962,4.1,2.74,0
16-01-1962,4.13,2.73,0
17-01-1962,4.12,2.74,0
18-01-1962,4.11,2.71,0
19-01-1962,4.11,2.71,0
22-01-1962,4.09,2.68,0
23-01-1962,4.11,2.66,0
24-01-1962,4.1,2.66,0
25-01-1962,4.11,2.66,0
26-01-1962,4.11,2.67,0
29-01-1962,4.12,2.67,0
30-01-1962,4.11,2.67,0
31-01-1962,4.1,2.73,0
01-02-1962,4.09,2.69,0
02-02-1962,4.08,2.67,0
05-02-1962,4.07,2.67,0
06-02-1962,4.06,2.68,0
07-02-1962,4.07,2.73,0
08-02-1962,4.07,2.72,0
09-02-1962,4.05,2.72,0
12-02-1962,.,.,0
13-02-1962,4.03,2.76,0
14-02-1962,4.03,2.82,0
15-02-1962,4.02,2.84,0
16-02-1962,4.02,2.83,0
19-02-1962,4.01,2.8,0
20-02-1962,4.05,2.75,0
21-02-1962,4.03,2.73,0
22-02-1962,.,.,0
23-02-1962,4.02,2.69,0
26-02-1962,4,2.66,0
27-02-1962,4.01,2.72,0
28-02-1962,4,2.71,0
01-03-1962,3.98,2.68,0
02-03-1962,3.98,2.69,0
05-03-1962,4,2.7,0
06-03-1962,4.01,2.72,0
07-03-1962,4,2.75,0
08-03-1962,3.98,2.75,0
09-03-1962,3.96,2.76,0
12-03-1962,3.94,2.75,0
13-03-1962,3.92,2.75,0
14-03-1962,3.93,2.75,0
15-03-1962,3.96,2.73,0
16-03-1962,3.96,2.72,0
19-03-1962,3.93,2.7,0
20-03-1962,3.91,2.7,0
21-03-1962,3.86,2.71,0
22-03-1962,3.83,2.69,0
23-03-1962,3.87,2.7,0
26-03-1962,3.89,2.71,0
27-03-1962,3.9,2.72,0
28-03-1962,3.9,2.73,0
29-03-1962,3.9,2.75,0
30-03-1962,3.86,2.75,0
02-04-1962,3.86,2.74,0
03-04-1962,3.83,2.73,0
04-04-1962,3.78,2.7,0
05-04-1962,3.84,2.72,0
06-04-1962,3.81,2.7,0
09-04-1962,3.83,2.71,0
10-04-1962,3.83,2.74,0
11-04-1962,3.87,2.78,0
12-04-1962,3.86,2.73,0
13-04-1962,3.85,2.74,0
16-04-1962,3.83,2.71,0
17-04-1962,3.82,2.72,0
18-04-1962,3.81,2.73,0
19-04-1962,3.82,2.73,0
20-04-1962,.,.,0
23-04-1962,3.86,2.73,0
24-04-1962,3.87,2.73,0
25-04-1962,3.88,2.74,0
26-04-1962,3.89,2.73,0
27-04-1962,3.86,2.74,0
30-04-1962,3.86,2.74,0
