Date,Open,High,Low,Close,Adj Close,Volume
02-01-2019,39400,39400,38550,38750,34283.77734,7847664
03-01-2019,38300,38550,37450,37600,33266.32031,12471493
04-01-2019,37450,37600,36850,37450,33133.60938,14108958
07-01-2019,38000,38900,37800,38750,34283.77734,12748997
08-01-2019,38000,39200,37950,38100,33708.69141,12756554
09-01-2019,38650,39600,38300,39600,35035.80859,17452708
10-01-2019,40000,40150,39600,39800,35212.76172,14731699
11-01-2019,40350,40550,39950,40500,35832.07813,11661063
14-01-2019,40450,40700,39850,40050,35433.94531,11984996
15-01-2019,40050,41100,39850,41100,36362.92188,11492756
16-01-2019,41150,41450,40700,41450,36672.58203,8491595
17-01-2019,41700,42100,41450,41950,37114.95703,11736903
18-01-2019,42000,42400,41950,42300,37424.62109,11029256
21-01-2019,42700,42750,41900,42750,37822.75781,11355701
22-01-2019,42750,42850,41850,42150,37291.90625,9964356
23-01-2019,41350,42250,41350,42000,37159.1875,11071079
24-01-2019,43050,43100,42350,43050,38088.17578,14747623
25-01-2019,44300,44750,43750,44750,39592.23047,22789395
28-01-2019,45000,45500,44600,45050,39857.65234,17998914
29-01-2019,45050,45500,44350,45500,40255.78906,16215017
30-01-2019,44800,46400,44800,46400,41052.05078,17505980
31-01-2019,46650,47050,46150,46150,40830.875,21621145
01-02-2019,46650,46950,46250,46350,41007.82031,13832454
07-02-2019,46800,47100,46200,46200,40875.10938,15872001
08-02-2019,45700,45700,44650,44800,39636.46875,12689196
11-02-2019,44500,45000,44250,45000,39813.41797,11125044
12-02-2019,44650,46250,44650,46050,40742.39844,13184367
13-02-2019,46400,46700,46000,46200,40875.10938,11299738
14-02-2019,46600,47500,46150,47500,42025.26953,17259341
15-02-2019,46750,46850,45650,46050,40742.39844,10554643
18-02-2019,46500,46850,45850,46200,40875.10938,8183728
19-02-2019,45850,46150,45450,45950,40653.92578,6741395
20-02-2019,46750,47100,46500,46900,41494.42969,11506720
21-02-2019,46500,47200,46200,46950,41538.66797,8694009
22-02-2019,46500,47150,46450,47150,41715.61719,6895772
25-02-2019,47400,47550,47050,47350,41892.56641,7484716
26-02-2019,47350,47450,46500,46750,41361.72266,7985547
27-02-2019,47000,47250,46750,46750,41361.72266,8045211
28-02-2019,46400,46500,45100,45100,39901.89063,23569321
04-03-2019,46000,46100,44800,44850,39680.70313,12926539
05-03-2019,44600,45100,44150,44250,39149.86328,10612405
06-03-2019,44000,44300,43700,44000,38928.67578,10202544
07-03-2019,43400,44950,43400,44450,39326.80469,11049749
08-03-2019,44450,44800,43800,43800,38751.72656,7729069
11-03-2019,44400,44450,43650,43650,38619.01563,10717408
12-03-2019,44300,44950,44150,44650,39503.76172,11431977
13-03-2019,44250,44450,43700,43850,38795.96875,8108343
14-03-2019,43700,44300,43550,43850,38795.96875,18039161
15-03-2019,43800,44250,43700,44200,39105.62891,16814163
18-03-2019,43950,44150,43450,43700,38663.26172,8188876
19-03-2019,43750,43900,43550,43900,38840.20313,7609563
20-03-2019,43800,44200,43100,44050,38972.91016,9846242
21-03-2019,44600,46250,44050,45850,40565.44531,21138016
22-03-2019,46850,47000,46250,46550,41184.77344,12535911
25-03-2019,45300,45650,44800,45500,40255.78906,8699728
26-03-2019,45500,45700,44900,45250,40034.60547,9729811
27-03-2019,44750,45600,44250,45350,40123.08203,9568081
28-03-2019,44950,45200,44300,44850,39992.88672,6821306
29-03-2019,44500,44900,44200,44650,39814.55469,11491713
01-04-2019,45200,45450,44850,45050,40171.23047,7362129
02-04-2019,45550,46100,45350,45750,40795.42578,9480688
03-04-2019,46750,46750,45800,46600,41553.36719,12436570
04-04-2019,46150,47100,46150,46950,41865.46875,12650168
05-04-2019,46950,47550,46600,46850,41776.29297,8546339
08-04-2019,47250,47250,46150,46650,41597.96094,8507909
09-04-2019,46700,46950,46200,46650,41597.96094,6878761
10-04-2019,46400,46700,46050,46700,41642.53516,11883995
11-04-2019,46700,46800,46150,46250,41241.26953,13697399
12-04-2019,46050,46900,46000,46850,41776.29297,7668936
15-04-2019,47150,47500,47000,47050,41954.63672,8733019
16-04-2019,47400,47400,46800,47250,42132.96875,7730881
17-04-2019,47300,47600,47000,47050,41954.63672,5513658
18-04-2019,47200,47250,45500,45600,40661.66016,12808747
19-04-2019,45750,46000,45250,45300,40394.16406,8479710
